city,city_LP,LP_destinations
Antalya,Turkey,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Athens,Greece,"Beyond Athens, down the Attica peninsula, are more spectacular antiquities, such as the Temple of Poseidon at Sounion and the site of Ancient Eleusis, as well as very good beaches, such as those near historical Marathon. Sure, you could zip across, west to east, in less than an hour, but it's far more fun to take a leisurely road trip to a thermally heated lake, say, or a monastery with dazzling Byzantine mosaics. If you'd rather not drive, most of these surprise sights (including great beaches) can be reached on public transport."
Ayia-napa,Cyprus,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Bangkok,Thailand,"It’s the contradictions that provide the City of Angels with its complex, multifaceted personality. Here, climate-controlled megamalls sit side by side with 200-year-old village homes; gold-spired temples share space with neon-lit strips of sleaze; slow-moving traffic is bypassed by long-tail boats plying the canals and riverways; Buddhist monks dressed in robes shop for the latest smartphones; and streets lined with food carts are overlooked by restaurants perched on top of skyscrapers. As Bangkok races towards the future, these contrasts are only poised to increase and intensify, even while supplying the city with its unique and ever-evolving notion of Thai cosmopolitanism."
Barcelona,Spain,"The night holds limitless possibilities in Barcelona. Start with sunset drinks on a panoramic terrace or dig your heels in the sand at a rustic beachside chiringuito (temporary snack bar). As darkness falls, live music transforms the city: the rapid-fire rhythms of flamenco, brassy jazz spilling out of basements, and hands-in-the-air indie-rock at vintage concert halls. Towards midnight the bars fill. Take your pick from old-school taverns adorned with 19th-century murals, plush lounges in lamp-lit medieval chambers or boisterous cava bars. If you're still standing at 3am, hit the clubs and explore Barcelona's unabashed wild side."
Basel,Switzerland,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Batumi,Georgia,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Beijing,China,"Undisputed party capital – the Communist Party, that is – Beijing is a uniquely micromanaged megacity, a showpiece where the State's latest schemes are piloted to the populace. 'Xi Jinping Thought' is the guiding mantra (Xi being China's prez for the foreseeable future). When Beijing needs to get things done, it gets things done. Air pollution? Improving year on year. Winter Olympics in a snowless city? No problemo. Country-wide surveillance? Easy-peasy. The world's biggest airport, Daxing, was ready to open at time of research, as ever more bullet trains race outwards to the provinces. All in a day's work for Beijing."
Berlin,Germany,"Berlin is a big multicultural metropolis but deep down it maintains the unpretentious charm of an international village. Locals and expats follow the credo 'live and let live' and put greater emphasis on personal freedom and a creative lifestyle than on material wealth and status symbols. Cafes are jammed at all hours, drinking is a religious rite and clubs keep going through the weekend into Monday. Size-wise, Berlin is pretty big but its key areas are wonderfully compact and easily navigated on foot, by bike or with public transport."
Boston,United States,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Bratislava,Slovakia,"Despite the march of modernism, Bratislava still has nature on its doorstep. The city banks the Danube River, only a few kilometres from the Austrian border. Rolling north are the Malé Karpaty (Small Carpathians), their lowlands draped with vineyards. Flitting between postcard-pretty, steely and gorgeously green, Bratislava never fails to intrigue."
Brussels,Belgium,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Bucharest,Romania,"Romania’s capital sometimes gets a bad rap, but in fact it's dynamic, energetic and lots of fun. Many travellers give the city just a night or two before heading off to Transylvania, but that’s not enough time. Allow at least a few days to take in the very good museums, stroll the parks and hang out at trendy cafes and drinking gardens. While much of the centre is modern and the buildings are in various stages of disrepair, you'll find splendid 17th- and 18th-century Orthodox churches and graceful belle époque villas tucked away in quiet corners. Communism changed the face of the city forever, and nowhere is this more evident than at the gargantuan Palace of Parliament, the grandest (and arguably crassest) tribute to dictatorial megalomania you’ll ever see."
Budapest,Hungary,"Budapest is blessed with an abundance of hot springs. As a result, ‘taking the waters’ has been an experience here since the time of the Romans. The array of bathhouses is generous – you can choose from Turkish-era, art nouveau and modern establishments. Some people come seeking a cure for whatever ails them, but the majority are there for fun and relaxation – though we still maintain it’s the world’s best cure for what Hungarians call a macskajaj (cat’s wail) – hangover."
Burgas,Bulgaria,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Cancun,Mexico,"Outdoorsy types and children will truly appreciate the activities on offer in Cancún. Great diving and snorkeling sites are nearby, including a famous underwater sculpture museum, and in addition to ocean dives, you can hook up tours to explore nearby cenotes (limestone sinkholes) and their fascinating underwater cave systems. Nature enthusiasts will enjoy a day trip from Cancún to Isla Contoy, an uninhabited island that provides great hiking, bird-watching and snorkeling opportunities. And, of course, there's the beach, where water activities range from swimming and kayaking to kiteboarding."
Catania,Italy,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Chiang-mai,Thailand,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Cologne,Germany,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Corfu,Greece,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Costa-Brava,Spain,"Delightful stone villages and the majestic Romanesque monastery of Sant Pere de Rodes nestle in the hilly backcountry, cloaked in the south in brilliant-green umbrella pine. Inland, wander northern Catalonia's biggest city, Girona, home to a moodily atmospheric, strikingly well-preserved medieval centre and one of the world's top restaurants. Neighbouring Figueres is famed for its bizarre Teatre-Museu Dalí, foremost of a series of sites associated with eccentric surrealist artist Salvador Dalí, who fell, like many others, for the wild natural beauty of seaside Cadaqués."
